Country,Code,Year,"Food supply (kcal/capita/day) (FAO, 2020)"
Hungary,HUN,2016,3260
Hungary,HUN,2017,3286
Iceland,ISL,2015,3548
Iceland,ISL,2016,3574
Iceland,ISL,2017,3628
India,IND,2015,2461
India,IND,2016,2496
India,IND,2017,2517
Indonesia,IDN,2015,2836
Indonesia,IDN,2016,2873
Indonesia,IDN,2017,2892
Iran,IRN,2015,3071
Iran,IRN,2016,3118
Iran,IRN,2017,3119
Iraq,IRQ,2015,2503
Iraq,IRQ,2016,2470
Iraq,IRQ,2017,2506
Ireland,IRL,2015,3747
Ireland,IRL,2016,3752
Ireland,IRL,2017,3717
Israel,ISR,2015,3453
Israel,ISR,2016,3498
Israel,ISR,2017,3509
Italy,ITA,2015,3519
Italy,ITA,2016,3508
Italy,ITA,2017,3522
Jamaica,JAM,2015,2741
Jamaica,JAM,2016,2688
Jamaica,JAM,2017,2757
Japan,JPN,2015,2697
Japan,JPN,2016,2696
Japan,JPN,2017,2697
Jordan,JOR,2015,2727
Jordan,JOR,2016,2717
Jordan,JOR,2017,2714
Kazakhstan,KAZ,2015,3252
Kazakhstan,KAZ,2016,3151
Kazakhstan,KAZ,2017,3196
Kenya,KEN,2015,2172
Kenya,KEN,2016,2120
Kenya,KEN,2017,2124
Kiribati,KIR,2015,3104
Kiribati,KIR,2016,3080
Kiribati,KIR,2017,3056
Kuwait,KWT,2015,3462
Kuwait,KWT,2016,3438
Kuwait,KWT,2017,3446
Kyrgyzstan,KGZ,2015,2780
Kyrgyzstan,KGZ,2016,2770
Kyrgyzstan,KGZ,2017,2798
Laos,LAO,2015,2942
Laos,LAO,2016,3080
Laos,LAO,2017,3047
Latvia,LVA,2015,3126
Latvia,LVA,2016,3122
Latvia,LVA,2017,3169
Lebanon,LBN,2015,2958
Lebanon,LBN,2016,2925
Lebanon,LBN,2017,2880
Lesotho,LSO,2015,2134
Lesotho,LSO,2016,1846
Lesotho,LSO,2017,2282
Liberia,LBR,2015,2122
Liberia,LBR,2016,2123
Liberia,LBR,2017,2132
Lithuania,LTU,2015,3374
Lithuania,LTU,2016,3412
Lithuania,LTU,2017,3419
Luxembourg,LUX,2015,3295
Luxembourg,LUX,2016,3318
Luxembourg,LUX,2017,3335
Macao,MAC,2015,3000
Macao,MAC,2016,2962
Macao,MAC,2017,3002
Madagascar,MDG,2015,1928
Madagascar,MDG,2016,1925
Madagascar,MDG,2017,1903
Malawi,MWI,2015,2596
Malawi,MWI,2016,2554
Malawi,MWI,2017,2647
Malaysia,MYS,2015,2865
Malaysia,MYS,2016,2843
Malaysia,MYS,2017,2909
Maldives,MDV,2015,2400
Maldives,MDV,2016,2409
Maldives,MDV,2017,2252
Mali,MLI,2015,2820
Mali,MLI,2016,2897
Mali,MLI,2017,2926
Malta,MLT,2015,3445
Malta,MLT,2016,3400
Malta,MLT,2017,3460
Mauritania,MRT,2015,2835
Mauritania,MRT,2016,2749
Mauritania,MRT,2017,2842
Mauritius,MUS,2015,3066
Mauritius,MUS,2016,2986
Mauritius,MUS,2017,3127
Mexico,MEX,2015,3242
Mexico,MEX,2016,3253
Mexico,MEX,2017,3260
Moldova,MDA,2015,2354
Moldova,MDA,2016,2424
Moldova,MDA,2017,2395
Mongolia,MNG,2015,2229
Mongolia,MNG,2016,2565
Mongolia,MNG,2017,2371
Montenegro,MNE,2015,3225
Montenegro,MNE,2016,3445
Montenegro,MNE,2017,3481
Morocco,MAR,2015,3402
Morocco,MAR,2016,3429
Morocco,MAR,2017,3380
Mozambique,MOZ,2015,2339
Mozambique,MOZ,2016,2362
Mozambique,MOZ,2017,2304
Myanmar,MMR,2015,2675
Myanmar,MMR,2016,2728
Myanmar,MMR,2017,2701
Namibia,NAM,2015,2431
Namibia,NAM,2016,2469
Namibia,NAM,2017,2431
Nepal,NPL,2015,2808
Nepal,NPL,2016,2825
Nepal,NPL,2017,2866
Netherlands,NLD,2015,3249
Netherlands,NLD,2016,3220
Netherlands,NLD,2017,3249
New Caledonia,NCL,2015,2780
New Caledonia,NCL,2016,2739
New Caledonia,NCL,2017,2752
New Zealand,NZL,2015,3151
New Zealand,NZL,2016,3148
New Zealand,NZL,2017,3156
Nicaragua,NIC,2015,2525
Nicaragua,NIC,2016,2642
Nicaragua,NIC,2017,2629
Niger,NER,2015,2555
Niger,NER,2016,2577
Niger,NER,2017,2579
Nigeria,NGA,2015,2522
Nigeria,NGA,2016,2563
Nigeria,NGA,2017,2464
North Korea,PRK,2015,2093
North Korea,PRK,2016,2058
North Korea,PRK,2017,2032
North Macedonia,MKD,2015,3020
North Macedonia,MKD,2016,3016
North Macedonia,MKD,2017,3000
Norway,NOR,2015,3435
Norway,NOR,2016,3374
Norway,NOR,2017,3385
Oman,OMN,2015,2970
Oman,OMN,2016,2928
Oman,OMN,2017,2931
Pakistan,PAK,2015,2318
Pakistan,PAK,2016,2314
Pakistan,PAK,2017,2326
Panama,PAN,2015,2771
