Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Food supply (kcal/capita/day),"Crude birth rate (births per 1,000 population)",Deaths - Unsafe water source per 100k people,Deaths - Conflict and terrorism,,,,,,,,,
Niger,Sub-Saharan Africa,2015,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,2555,47.502,97.57994163,3.1384278,,,,,,,,,
Cambodia,Southeastern Asia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,2458,23.674,14.35674574,0.031903993,,,,,,,,,
Tanzania,Sub-Saharan Africa,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,2318,37.866,41.68811816,0.058651657,,,,,,,,,
Madagascar,Sub-Saharan Africa,2015,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,1928,33.392,98.0641843,0.685517012,,,,,,,,,
Central African Republic,Sub-Saharan Africa,2015,148,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,1758,36.454,149.6608032,10.18241777,,,,,,,,,
Chad,Sub-Saharan Africa,2015,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,2131,43.73,133.420732,3.734959383,,,,,,,,,
Guinea,Sub-Saharan Africa,2015,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,2807,37.583,53.89294222,0.071076567,,,,,,,,,
Congo (Kinshasa),Sub-Saharan Africa,2016,125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,,,,,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,2015,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,2713,39.437,67.54184525,0.126110917,,,,,,,,,
Afghanistan,Southern Asia,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,1978,34.809,10.68282771,76.35696926,,,,,,,,,
Rwanda,Sub-Saharan Africa,2015,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,2242,32.604,41.79433078,0.025272618,,,,,,,,,
Benin,Sub-Saharan Africa,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,2720,37.432,68.90662944,0.027483928,,,,,,,,,
Congo (Kinshasa),Sub-Saharan Africa,2017,126,4.28000021,0.092102349,1.229023457,0.191407025,0.235961348,0.246455833,0.060241356,2.224958658,,,,,,,,,,,,,
Czech Republic,Central and Eastern Europe,2015,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,3138,10.461,0.312283781,0,,,,,,,,,
Togo,Sub-Saharan Africa,2015,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,2464,34.51,58.42838345,0,,,,,,,,,
Denmark,Western Europe,2016,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,3335,10.475,0.069210015,0.017542326,,,,,,,,,
Switzerland,Western Europe,2016,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,3341,10.358,0.027813202,0,,,,,,,,,
Iceland,Western Europe,2016,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,3574,12.61,0.021759286,0,,,,,,,,,
Norway,Western Europe,2016,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,3374,11.259,0.062826828,0,,,,,,,,,
Finland,Western Europe,2016,5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,3334,9.813,0.008127939,0,,,,,,,,,
Canada,North America,2016,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,3489,10.611,0.064521615,0.002803695,,,,,,,,,
Netherlands,Western Europe,2016,7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,3220,10.187,0.022904305,0.017675204,,,,,,,,,
New Zealand,Australia and New Zealand,2016,8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,3148,12.909,0.147147798,0,,,,,,,,,
Australia,Australia and New Zealand,2016,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,3316,13.05,0.063321683,0,,,,,,,,,
Sweden,Western Europe,2016,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,3167,11.938,0.069007155,0.010051003,,,,,,,,,
Israel,Middle East and Northern Africa,2016,11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,3498,20.821,0.085152686,0.307153738,,,,,,,,,
Austria,Western Europe,2016,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,3687,9.795,0.013480267,0,,,,,,,,,
United States,North America,2016,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,3747,12.059,0.055723391,0.021060972,,,,,,,,,
Costa Rica,Latin America and Caribbean,2016,14,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,2994,14.512,0.799397794,0,,,,,,,,,
Czech Republic,Central and Eastern Europe,2016,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,3241,10.445,0.298255537,0,,,,,,,,,
Germany,Western Europe,2016,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,3574,9.146,0.054133405,0.046795696,,,,,,,,,
Brazil,Latin America and Caribbean,2016,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,3236,14.307,1.606110527,0.000475964,,,,,,,,,
Belgium,Western Europe,2016,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,3759,11.048,0.074497454,0.621236467,,,,,,,,,
Ireland,Western Europe,2016,19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,3752,13.787,0.014851439,0.041368194,,,,,,,,,
Luxembourg,Western Europe,2016,20,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,3318,10.829,0.039964251,0,,,,,,,,,
Mexico,Latin America and Caribbean,2016,21,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,3253,18.245,1.576159188,0,,,,,,,,,
Czech Republic,Central and Eastern Europe,2017,23,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927,2.451861858,3276,10.413,0.25357414,0,,,,,,,,,
United Kingdom,Western Europe,2016,23,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,3409,11.842,0.026909651,0.013582238,,,,,,,,,
Chile,Latin America and Caribbean,2016,24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,3000,13.031,0.446564826,0,,,,,,,,,
Panama,Latin America and Caribbean,2016,25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,2800,19.562,2.743934357,0,,,,,,,,,
Argentina,Latin America and Caribbean,2016,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,3219,17.383,0.551641753,0,,,,,,,,,
Ivory Coast,Sub-Saharan Africa,2015,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,2598,36.438,50.9360379,0.062597807,,,,,,,,,
United Arab Emirates,Middle East and Northern Africa,2016,28,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,3368,10.603,1.69497408,0,,,,,,,,,
Uruguay,Latin America and Caribbean,2016,29,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,3132,14.057,0.885662117,0.029303468,,,,,,,,,
Malta,Western Europe,2016,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,3400,9.772,0.011175403,0,,,,,,,,,
Colombia,Latin America and Caribbean,2016,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,3046,15.308,1.0676904,0.151881259,,,,,,,,,
France,Western Europe,2016,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,3537,11.571,0.033891782,0.277947558,,,,,,,,,
Thailand,Southeastern Asia,2016,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,2829,10.676,3.978927315,0.157623847,,,,,,,,,
Saudi Arabia,Middle East and Northern Africa,2016,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,3205,18.858,0.805103025,5.89285246,,,,,,,,,
Taiwan,Eastern Asia,2016,34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,2954,8.513,0.114564686,0,,,,,,,,,
Ivory Coast,Sub-Saharan Africa,2016,139,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,2652,36.225,48.84071185,0.069507872,,,,,,,,,
Spain,Western Europe,2016,37,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,3276,8.769,0.033148788,0,,,,,,,,,
Algeria,Middle East and Northern Africa,2016,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,3359,25.25,0.576115756,0.230825657,,,,,,,,,
Guatemala,Latin America and Caribbean,2016,39,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2517,25.267,16.17473912,0,,,,,,,,,
Suriname,Latin America and Caribbean,2016,40,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,2702,19.042,5.854797661,0,,,,,,,,,
Kuwait,Middle East and Northern Africa,2016,41,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,3438,15.369,0.120559228,0.024400824,,,,,,,,,
Ivory Coast,Sub-Saharan Africa,2017,128,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,0.130061775,1.844964266,2730,35.993,47.89411075,0.096133514,,,,,,,,,
Trinidad and Tobago,Latin America and Caribbean,2016,43,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,3038,13.662,1.352519664,0,,,,,,,,,
Venezuela,Latin America and Caribbean,2016,44,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,2253,18.61,2.51044214,0.029591077,,,,,,,,,
Slovakia,Central and Eastern Europe,2016,45,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,2829,10.509,0.085567208,0,,,,,,,,,
El Salvador,Latin America and Caribbean,2016,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2620,18.587,3.564901729,0,,,,,,,,,
Malaysia,Southeastern Asia,2016,47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,2843,16.957,1.649490921,0.019810197,,,,,,,,,
Nicaragua,Latin America and Caribbean,2016,48,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,2642,21.468,2.340263992,0,,,,,,,,,
Uzbekistan,Central and Eastern Europe,2016,49,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2994,22.348,0.359194973,0,,,,,,,,,
Italy,Western Europe,2016,50,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,3508,7.974,0.023644153,0.001647729,,,,,,,,,
Ecuador,Latin America and Caribbean,2016,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,2577,20.205,1.405693777,0.006082535,,,,,,,,,
Belize,Latin America and Caribbean,2016,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,2683,21.4,3.150034727,0,,,,,,,,,
Japan,Eastern Asia,2016,53,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,2696,7.783,0.1092333,0.017865333,,,,,,,,,
Kazakhstan,Central and Eastern Europe,2016,54,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,3151,22.015,0.234357943,0.056595002,,,,,,,,,
Moldova,Central and Eastern Europe,2016,55,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,2424,10.445,0.247550521,0,,,,,,,,,
Russia,Central and Eastern Europe,2016,56,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,3354,13.023,0.109792471,0.16798034,,,,,,,,,
Poland,Central and Eastern Europe,2016,57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,3482,9.9,0.118723917,0,,,,,,,,,
South Korea,Eastern Asia,2016,57,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,3335,7.918,0.186557988,0,,,,,,,,,
Bolivia,Latin America and Caribbean,2016,59,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,2335,22.433,3.405275691,0,,,,,,,,,
Lithuania,Central and Eastern Europe,2016,60,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,3412,10.452,0.103836109,0,,,,,,,,,
Belarus,Central and Eastern Europe,2016,61,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,3295,12.077,0.037097958,0,,,,,,,,,
Kosovo,Central and Eastern Europe,2015,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,,,,,,,,,,,,,
Slovenia,Central and Eastern Europe,2016,63,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,3164,10.023,0.028967942,0,,,,,,,,,
Peru,Latin America and Caribbean,2016,64,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,2743,18.323,2.180310115,0.06738486,,,,,,,,,
Turkmenistan,Central and Eastern Europe,2016,65,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,2871,25.37,0.90568759,0,,,,,,,,,
Mauritius,Sub-Saharan Africa,2016,66,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,2986,10.395,0.408334134,0,,,,,,,,,
Kosovo,Central and Eastern Europe,2016,77,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,,,,,,,,,,,,,
Latvia,Central and Eastern Europe,2016,68,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,3122,10.589,0.064552421,0,,,,,,,,,
Cyprus,Western Europe,2016,69,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,2599,10.852,0.062622068,0,,,,,,,,,
Paraguay,Latin America and Caribbean,2016,70,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2687,20.993,1.831240083,0.14663271,,,,,,,,,
Romania,Central and Eastern Europe,2016,71,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,3507,9.791,0.253614314,0,,,,,,,,,
Estonia,Central and Eastern Europe,2016,72,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,3241,10.455,0.037723532,0,,,,,,,,,
Jamaica,Latin America and Caribbean,2016,73,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,2688,16.46,0.904308292,0,,,,,,,,,
Croatia,Central and Eastern Europe,2016,74,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,3120,9.128,0.135636953,0.069923957,,,,,,,,,
Hong Kong,Eastern Asia,2016,75,5.458,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,3309,11.024,,,,,,,,,,,
Kosovo,Central and Eastern Europe,2017,78,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,0.057471618,2.010540724,,,,,,,,,,,,,
Libya,Middle East and Northern Africa,2015,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,,20.465,0.825021595,0.757978011,,,,,,,,,
Turkey,Middle East and Northern Africa,2016,78,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,3558,16.494,0.468051205,3.19971361,,,,,,,,,
Indonesia,Southeastern Asia,2016,79,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,2873,18.79,33.1370116,0.012105362,,,,,,,,,
Jordan,Middle East and Northern Africa,2016,80,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2717,23.396,0.372148925,0.675383197,,,,,,,,,
Azerbaijan,Central and Eastern Europe,2016,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,3085,18.061,1.131225913,1.365827061,,,,,,,,,
Philippines,Southeastern Asia,2016,82,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,2627,21.623,6.682852529,0.821124358,,,,,,,,,
China,Eastern Asia,2016,83,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,3169,12.233,0.359416485,0.001852119,,,,,,,,,
Libya,Middle East and Northern Africa,2016,67,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,,19.935,0.811216691,26.83252448,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,2016,85,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,2770,26.524,1.08386899,0.015965665,,,,,,,,,
Serbia,Central and Eastern Europe,2016,86,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,2803,9.573,0.163073119,0,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,2016,87,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,3299,8.477,0.113322412,0,,,,,,,,,
Montenegro,Central and Eastern Europe,2016,88,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,3445,11.804,0.054491931,0,,,,,,,,,
Dominican Republic,Latin America and Caribbean,2016,89,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,2835,20.07,3.769663888,0,,,,,,,,,
Morocco,Middle East and Northern Africa,2016,90,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,3429,19.868,2.556968279,0.008526025,,,,,,,,,
Hungary,Central and Eastern Europe,2016,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,3260,9.339,0.359982239,0,,,,,,,,,
Pakistan,Southern Asia,2016,92,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,2314,28.888,39.35651157,0.909912382,,,,,,,,,
Lebanon,Middle East and Northern Africa,2016,93,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,2925,17.744,0.848655528,0.561560035,,,,,,,,,
Portugal,Western Europe,2016,94,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,3433,7.962,0.065940039,0,,,,,,,,,
Libya,Middle East and Northern Africa,2017,68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,0.09261021,1.835011244,,19.38,0.810240556,22.07349174,,,,,,,,,
Vietnam,Southeastern Asia,2016,96,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,2924,17.15,2.032581777,0.003146548,,,,,,,,,
Macedonia,Central and Eastern Europe,2015,93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,,,,,,,,,,,,,
Tunisia,Middle East and Northern Africa,2016,98,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,3489,18.405,0.733659137,1.038424737,,,,,,,,,
Greece,Western Europe,2016,99,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944,3331,8.137,0.00354237,0.630952704,,,,,,,,,
Tajikistan,Central and Eastern Europe,2016,100,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,2106,31.822,10.07430057,0.011079132,,,,,,,,,
Mongolia,Eastern Asia,2016,101,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,2565,25.425,0.614813134,0,,,,,,,,,
Laos,Southeastern Asia,2016,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,3080,24.337,25.24494829,0.101741848,,,,,,,,,
Nigeria,Sub-Saharan Africa,2016,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,2563,38.873,63.05091371,2.480943148,,,,,,,,,
Honduras,Latin America and Caribbean,2016,104,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,2591,22.13,11.90296764,0.021568829,,,,,,,,,
Iran,Middle East and Northern Africa,2016,105,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,3118,19.102,0.762687848,0.149753206,,,,,,,,,
Zambia,Sub-Saharan Africa,2016,106,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,2010,37.292,64.00583776,0.017854629,,,,,,,,,
Nepal,Southern Asia,2016,107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,2825,20.515,52.68825866,0.020290946,,,,,,,,,
Macedonia,Central and Eastern Europe,2016,95,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,,,,,,,,,,,,,
Albania,Central and Eastern Europe,2016,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,3352,12.08,0.152087362,0,,,,,,,,,
Bangladesh,Southern Asia,2016,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,2573,18.824,24.63246814,0.097150696,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,2016,111,4.635,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,2450,34.483,77.44795607,0.039439706,,,,,,,,,
Iraq,Middle East and Northern Africa,2016,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,2470,30.388,0.908969434,67.76944114,,,,,,,,,
Namibia,Sub-Saharan Africa,2016,113,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,2469,29.534,36.00248268,0,,,,,,,,,
Cameroon,Sub-Saharan Africa,2016,114,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,2685,36.429,52.90813218,2.605630967,,,,,,,,,
Ethiopia,Sub-Saharan Africa,2016,115,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,2296,33.207,72.84627083,0.774126331,,,,,,,,,
South Africa,Sub-Saharan Africa,2016,116,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,2967,21.314,23.92881102,0.156434926,,,,,,,,,
Sri Lanka,Southern Asia,2016,117,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,2585,16.364,2.681366487,0,,,,,,,,,
India,Southern Asia,2016,118,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,2496,18.332,68.06296178,0.149771155,,,,,,,,,
Myanmar,Southeastern Asia,2016,119,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,2728,17.861,17.80554564,0.410096032,,,,,,,,,
Egypt,Middle East and Northern Africa,2016,120,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,3342,27.677,3.498682415,0.387465193,,,,,,,,,
Armenia,Central and Eastern Europe,2016,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,3059,14.568,0.1206389,3.950604311,,,,,,,,,
Kenya,Sub-Saharan Africa,2016,122,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,2120,29.943,62.482049,0.429960674,,,,,,,,,
Ukraine,Central and Eastern Europe,2016,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2999,10.071,0.111248498,0.805544976,,,,,,,,,
Ghana,Sub-Saharan Africa,2016,124,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,2925,30.28,29.64886982,0.091654125,,,,,,,,,
Macedonia,Central and Eastern Europe,2017,92,5.175000191,1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,0.060277794,1.617469311,,,,,,,,,,,,,
Georgia,Central and Eastern Europe,2016,126,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,2944,13.925,0.242787866,0.026807512,,,,,,,,,
North Cyprus,Western Europe,2015,66,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,2016,128,4.219,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,2589,35.727,56.57752515,0.118332396,,,,,,,,,
Bulgaria,Central and Eastern Europe,2016,129,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,2846,9.073,0.149614986,0,,,,,,,,,
Mauritania,Sub-Saharan Africa,2016,130,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,2749,34.569,46.03819832,0,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,2016,131,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,2176,32.864,37.5476716,0.041544395,,,,,,,,,
Malawi,Sub-Saharan Africa,2016,132,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,2554,35.163,58.92721019,0.131290493,,,,,,,,,
Sudan,Sub-Saharan Africa,2016,133,4.139,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,2441,32.923,14.93704953,5.914722145,,,,,,,,,
Gabon,Sub-Saharan Africa,2016,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,2688,32.604,24.36602876,0,,,,,,,,,
Mali,Sub-Saharan Africa,2016,135,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,2897,42.638,93.00382005,0.701350046,,,,,,,,,
Haiti,Latin America and Caribbean,2016,136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,2135,25.162,29.0760292,0.060454525,,,,,,,,,
Botswana,Sub-Saharan Africa,2016,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,2370,25.943,27.76255707,0,,,,,,,,,
North Cyprus,Western Europe,2016,62,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,,,,,,,,,,,,,
North Cyprus,Western Europe,2017,61,5.809999943,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,1.549157619,,,,,,,,,,,,,
Cambodia,Southeastern Asia,2016,140,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,2458,23.291,13.79962176,0.012580508,,,,,,,,,
Angola,Sub-Saharan Africa,2016,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,2188,41.882,84.15803675,0.113685377,,,,,,,,,
Niger,Sub-Saharan Africa,2016,142,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,2577,47.017,95.39838851,1.651936078,,,,,,,,,
Palestinian Territories,Middle East and Northern Africa,2015,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,,31.246,0.847289473,5.933967752,,,,,,,,,
Chad,Sub-Saharan Africa,2016,144,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,2133,43.201,131.7336505,0.197493395,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,2016,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,2726,38.92,67.29734152,0.425146397,,,,,,,,,
Uganda,Sub-Saharan Africa,2016,145,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,2132,39.8,47.58014578,0.695975821,,,,,,,,,
