Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Food supply (kcal/capita/day),"Crude birth rate (births per 1,000 population)",Deaths - Unsafe water source per 100k people,Deaths - Conflict and terrorism,,,,,,,,,
Malta,Western Europe,2015,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,3445,9.724,0.011690091,0,,,,,,,,,
Taiwan,Eastern Asia,2015,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,2975,8.545,0.11446893,0,,,,,,,,,
Kuwait,Middle East and Northern Africa,2015,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,3462,16.086,0.126327533,1.373018441,,,,,,,,,
Suriname,Latin America and Caribbean,2015,40,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,2715,19.292,5.977675986,0,,,,,,,,,
Trinidad and Tobago,Latin America and Caribbean,2015,41,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,3042,14.007,1.339423379,0,,,,,,,,,
El Salvador,Latin America and Caribbean,2015,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,2585,18.734,3.682517742,0,,,,,,,,,
Guatemala,Latin America and Caribbean,2015,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,2504,25.627,16.40225268,0,,,,,,,,,
Uzbekistan,Central and Eastern Europe,2015,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,3007,22.63,0.37183006,0.067936326,,,,,,,,,
Slovakia,Central and Eastern Europe,2015,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,2688,10.522,0.089396468,0,,,,,,,,,
Japan,Eastern Asia,2015,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,2697,7.962,0.110785588,0.018599021,,,,,,,,,
South Korea,Eastern Asia,2015,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,3340,8.209,0.199448771,0,,,,,,,,,
Ecuador,Latin America and Caribbean,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,2599,20.432,1.349346603,0,,,,,,,,,
Bhutan,Southern Asia,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,,17.783,17.68911979,0,,,,,,,,,
Italy,Western Europe,2015,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,3519,8.213,0.027083314,0,,,,,,,,,
Bolivia,Latin America and Caribbean,2015,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,2329,22.821,3.610537566,0,,,,,,,,,
Moldova,Central and Eastern Europe,2015,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,2354,10.609,0.251292126,0,,,,,,,,,
Paraguay,Latin America and Caribbean,2015,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,2719,21.198,1.902786285,0.19383096,,,,,,,,,
Kazakhstan,Central and Eastern Europe,2015,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,3252,22.358,0.243048119,0.067836769,,,,,,,,,
Slovenia,Central and Eastern Europe,2015,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,3169,10.184,0.030488049,0,,,,,,,,,
Lithuania,Central and Eastern Europe,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,3374,10.481,0.097678233,0,,,,,,,,,
Nicaragua,Latin America and Caribbean,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,2525,21.859,2.456441695,0,,,,,,,,,
Peru,Latin America and Caribbean,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,2783,18.544,2.169943735,0.046699073,,,,,,,,,
Belarus,Central and Eastern Europe,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,3206,12.154,0.038093757,0,,,,,,,,,
Poland,Central and Eastern Europe,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,3414,9.934,0.138505803,0,,,,,,,,,
Malaysia,Southeastern Asia,2015,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,2865,17.024,1.706977647,0.003341753,,,,,,,,,
Croatia,Central and Eastern Europe,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,3033,9.263,0.13528133,0.023224394,,,,,,,,,
Bhutan,Southern Asia,2016,84,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,,17.625,16.81389465,0,,,,,,,,,
Russia,Central and Eastern Europe,2015,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,3359,13.105,0.118726646,0.201376331,,,,,,,,,
Jamaica,Latin America and Caribbean,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,2741,16.633,0.896445585,0,,,,,,,,,
Bhutan,Southern Asia,2017,97,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.474054545,0.17338039,1.140184402,,17.459,16.62524553,0,,,,,,,,,
Cyprus,Western Europe,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,2601,11.011,0.06415071,0,,,,,,,,,
Algeria,Middle East and Northern Africa,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,3371,25.481,0.615159767,0.29052223,,,,,,,,,
